"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"129","E0",2013-12-01,"Man City","Swansea",3,0,"H",1,0,"H","M Clattenburg"
"130","E0",2013-12-01,"Tottenham","Man United",2,2,"D",1,1,"D","M Dean"
"131","E0",2013-12-03,"Crystal Palace","West Ham",1,0,"H",1,0,"H","L Mason"
"132","E0",2013-12-04,"Arsenal","Hull",2,0,"H",1,0,"H","A Marriner"
"133","E0",2013-12-04,"Fulham","Tottenham",1,2,"A",0,0,"D","M Clattenburg"
"134","E0",2013-12-04,"Liverpool","Norwich",5,1,"H",3,0,"H","A Taylor"
"135","E0",2013-12-04,"Man United","Everton",0,1,"A",0,0,"D","M Atkinson"
"136","E0",2013-12-04,"Southampton","Aston Villa",2,3,"A",0,1,"A","J Moss"
"137","E0",2013-12-04,"Stoke","Cardiff",0,0,"D",0,0,"D","M Oliver"
"138","E0",2013-12-04,"Sunderland","Chelsea",3,4,"A",1,2,"A","P Dowd"
"139","E0",2013-12-04,"Swansea","Newcastle",3,0,"H",1,0,"H","H Webb"
"140","E0",2013-12-04,"West Brom","Man City",2,3,"A",0,2,"A","C Foy"
"141","E0",2013-12-07,"Crystal Palace","Cardiff",2,0,"H",1,0,"H","M Jones"
"142","E0",2013-12-07,"Liverpool","West Ham",4,1,"H",1,0,"H","M Oliver"
"143","E0",2013-12-07,"Man United","Newcastle",0,1,"A",0,0,"D","A Marriner"
"144","E0",2013-12-07,"Southampton","Man City",1,1,"D",1,1,"D","A Taylor"
"145","E0",2013-12-07,"Stoke","Chelsea",3,2,"H",1,1,"D","J Moss"
"146","E0",2013-12-07,"Sunderland","Tottenham",1,2,"A",1,1,"D","L Mason"
"147","E0",2013-12-07,"West Brom","Norwich",0,2,"A",0,1,"A","M Clattenburg"
"148","E0",2013-12-08,"Arsenal","Everton",1,1,"D",0,0,"D","H Webb"
"149","E0",2013-12-08,"Fulham","Aston Villa",2,0,"H",2,0,"H","M Dean"
"150","E0",2013-12-09,"Swansea","Hull",1,1,"D",0,1,"A","M Atkinson"
"151","E0",2013-12-14,"Cardiff","West Brom",1,0,"H",0,0,"D","H Webb"
